Name,Height,Weight,Reach,Stance,Birthday,Nickname
Tom Aaron,--,155 lbs.,--,,Jul 13  1978,,
Danny Abbadi,5' 11",155 lbs.,--,Orthodox,Jul 03  1983,The Assassin,
David Abbott,6' 0",265 lbs.,--,Switch,--,Tank,
Shamil Abdurakhimov,6' 3",235 lbs.,76",Orthodox,Sep 02  1981,Abrek,
Hiroyuki Abe,5' 6",145 lbs.,--,Orthodox,--,Abe Ani,
Daichi Abe,5' 11",170 lbs.,71",Orthodox,Nov 27  1991,,
Papy Abedi,5' 11",185 lbs.,74",Southpaw,Jun 30  1978,Makambo,
Ricardo Abreu,5' 11",185 lbs.,73",Orthodox,Apr 27  1984,Demente,
Klidson Abreu,6' 0",205 lbs.,74",Orthodox,Dec 24  1992,White Bear,
Daniel Acacio,5' 8",180 lbs.,--,Orthodox,Dec 27  1977,,
Scott Adams,6' 0",225 lbs.,--,Southpaw,--,,
Juan Adams,6' 5",265 lbs.,80",Orthodox,Jan 16  1992,The Kraken,
Anthony Adams,6' 0",185 lbs.,77",Orthodox,Jan 13  1988,Sugafoot,
Israel Adesanya,6' 4",185 lbs.,80",Switch,Jul 22  1989,The Last Stylebender,
Sam Adkins,6' 3",225 lbs.,--,Orthodox,Apr 26  1965,The Experience,
Nick Agallar,5' 8",155 lbs.,--,Orthodox,Jan 13  1979,,
Mariya Agapova,5' 8",125 lbs.,--,Southpaw,Apr 07  1997,,
Marcelo Aguiar,5' 10",170 lbs.,--,Orthodox,--,,
Edwin Aguilar,5' 10",185 lbs.,--,,--,Tigre,
Jessica Aguilar,5' 3",115 lbs.,63",Orthodox,May 08  1982,Jag,
Kevin Aguilar,5' 7",145 lbs.,73",Orthodox,Sep 07  1988,Angel of Death,
Mike Aina,5' 9",155 lbs.,--,Orthodox,--,Iron,
Hitomi Akano,5' 4",135 lbs.,--,Southpaw,Jul 27  1974,Girlfight Monster,
Omari Akhmedov,6' 0",185 lbs.,73",Orthodox,Oct 12  1987,Wolverine,
Yoshihiro Akiyama,5' 10",170 lbs.,73",Orthodox,Jul 29  1975,,
Rostem Akman,5' 10",170 lbs.,72",Switch,Dec 19  1991,Kurdimus Prime,
Razak Al-Hassan,6' 2",205 lbs.,--,Orthodox,May 14  1982,,
Mostapha Al-Turk,6' 2",245 lbs.,77",Orthodox,Jul 14  1973,,
Herdem Alacabek,6' 2",205 lbs.,75",Orthodox,Jun 07  1991,,
Javi Alanis,5' 6",135 lbs.,--,,--,,
Heili Alateng,5' 5",135 lbs.,66",Orthodox,Dec 14  1991,The Mongolian Knight,
Brett Albee,--,225 lbs.,--,,--,,
John Albert,5' 8",135 lbs.,68",Orthodox,Oct 13  1986,Prince,
Junior Albini,6' 3",264 lbs.,74",Orthodox,Mar 15  1991,Baby,
Wes Albritton,5' 10",188 lbs.,--,Orthodox,--,,
Alexandra Albu,5' 2",115 lbs.,63",Orthodox,Jul 14  1990,Stitch,
Israel Albuquerque,--,185 lbs.,--,Orthodox,--,,
Juan Alcain,--,--,--,,--,,
Iuri Alcantara,5' 9",135 lbs.,71",Southpaw,Aug 04  1980,Marajo,
Ildemar Alcantara,6' 2",185 lbs.,78",Orthodox,Nov 18  1982,Marajo,
Alfonso Alcarez,5' 3",145 lbs.,--,,Jun 10  1970,,
Gilbert Aldana,6' 1",250 lbs.,--,Orthodox,Aug 25  1977,El Peligro,
Irene Aldana,5' 9",135 lbs.,68",Orthodox,Mar 26  1988,,
