Fight_Card,Date,Location,Title_Fight,Referee,Decision,Winner,Weightclass,R_Fighter,R_Knockdowns,R_Sig_Str_Landed,R_Sig_Str_Thrown,R_Str_Landed,R_Str_Thrown,R_Takedowns_Landed,R_Takedowns_Attempted,R_Sub_Attempted,R_Passes,R_Reversals,R_Sig_Str_Head_Landed,R_Sig_Str_Head_Attempted,R_Sig_Str_Body_Landed,R_Sig_Str_Body_Attempted,R_Sig_Str_Leg_Landed,R_Sig_Str_Leg_Attempted,R_Sig_Str_Distance_Landed,R_Sig_Str_Distance_Attempted,R_Sig_Str_Clinch_Landed,R_Sig_Str_Clinch_Attempted,R_Sig_Str_Ground_Landed,R_Sig_Str_Ground_Attempted,R_Ro1_Knockdowns,R_Ro1_Sig_Str_Landed,R_Ro1_Sig_Str_Thrown,R_Ro1_Str_Landed,R_Ro1_Str_Thrown,R_Ro1_Takedowns_Landed,R_Ro1_Takedowns_Attempted,R_Ro1_Sub_Attempted,R_Ro1_Passes,R_Ro1_Reversals,R_Ro1_Sig_Str_Head_Landed,R_Ro1_Sig_Str_Head_Attempted,R_Ro1_Sig_Str_Body_Landed,R_Ro1_Sig_Str_Body_Attempted,R_Ro1_Sig_Str_Leg_Landed,R_Ro1_Sig_Str_Leg_Attempted,R_Ro1_Sig_Str_Distance_Landed,R_Ro1_Sig_Str_Distance_Attempted,R_Ro1_Sig_Str_Clinch_Landed,R_Ro1_Sig_Str_Clinch_Attempted,R_Ro1_Sig_Str_Ground_Landed,R_Ro1_Sig_Str_Ground_Attempted,R_Ro2_Knockdowns,R_Ro2_Sig_Str_Landed,R_Ro2_Sig_Str_Thrown,R_Ro2_Str_Landed,R_Ro2_Str_Thrown,R_Ro2_Takedowns_Landed,R_Ro2_Takedowns_Attempted,R_Ro2_Sub_Attempted,R_Ro2_Passes,R_Ro2_Reversals,R_Ro2_Sig_Str_Head_Landed,R_Ro2_Sig_Str_Head_Attempted,R_Ro2_Sig_Str_Body_Landed,R_Ro2_Sig_Str_Body_Attempted,R_Ro2_Sig_Str_Leg_Landed,R_Ro2_Sig_Str_Leg_Attempted,R_Ro2_Sig_Str_Distance_Landed,R_Ro2_Sig_Str_Distance_Attempted,R_Ro2_Sig_Str_Clinch_Landed,R_Ro2_Sig_Str_Clinch_Attempted,R_Ro2_Sig_Str_Ground_Landed,R_Ro2_Sig_Str_Ground_Attempted,R_Ro3_Knockdowns,R_Ro3_Sig_Str_Landed,R_Ro3_Sig_Str_Thrown,R_Ro3_Str_Landed,R_Ro3_Str_Thrown,R_Ro3_Takedowns_Landed,R_Ro3_Takedowns_Attempted,R_Ro3_Sub_Attempted,R_Ro3_Passes,R_Ro3_Reversals,R_Ro3_Sig_Str_Head_Landed,R_Ro3_Sig_Str_Head_Attempted,R_Ro3_Sig_Str_Body_Landed,R_Ro3_Sig_Str_Body_Attempted,R_Ro3_Sig_Str_Leg_Landed,R_Ro3_Sig_Str_Leg_Attempted,R_Ro3_Sig_Str_Distance_Landed,R_Ro3_Sig_Str_Distance_Attempted,R_Ro3_Sig_Str_Clinch_Landed,R_Ro3_Sig_Str_Clinch_Attempted,R_Ro3_Sig_Str_Ground_Landed,R_Ro3_Sig_Str_Ground_Attempted,R_Ro4_Knockdowns,R_Ro4_Sig_Str_Landed,R_Ro4_Sig_Str_Thrown,R_Ro4_Str_Landed,R_Ro4_Str_Thrown,R_Ro4_Takedowns_Landed,R_Ro4_Takedowns_Attempted,R_Ro4_Sub_Attempted,R_Ro4_Passes,R_Ro4_Reversals,R_Ro4_Sig_Str_Head_Landed,R_Ro4_Sig_Str_Head_Attempted,R_Ro4_Sig_Str_Body_Landed,R_Ro4_Sig_Str_Body_Attempted,R_Ro4_Sig_Str_Leg_Landed,R_Ro4_Sig_Str_Leg_Attempted,R_Ro4_Sig_Str_Distance_Landed,R_Ro4_Sig_Str_Distance_Attempted,R_Ro4_Sig_Str_Clinch_Landed,R_Ro4_Sig_Str_Clinch_Attempted,R_Ro4_Sig_Str_Ground_Landed,R_Ro4_Sig_Str_Ground_Attempted,R_Ro5_Knockdowns,R_Ro5_Sig_Str_Landed,R_Ro5_Sig_Str_Thrown,R_Ro5_Str_Landed,R_Ro5_Str_Thrown,R_Ro5_Takedowns_Landed,R_Ro5_Takedowns_Attempted,R_Ro5_Sub_Attempted,R_Ro5_Passes,R_Ro5_Reversals,R_Ro5_Sig_Str_Head_Landed,R_Ro5_Sig_Str_Head_Attempted,R_Ro5_Sig_Str_Body_Landed,R_Ro5_Sig_Str_Body_Attempted,R_Ro5_Sig_Str_Leg_Landed,R_Ro5_Sig_Str_Leg_Attempted,R_Ro5_Sig_Str_Distance_Landed,R_Ro5_Sig_Str_Distance_Attempted,R_Ro5_Sig_Str_Clinch_Landed,R_Ro5_Sig_Str_Clinch_Attempted,R_Ro5_Sig_Str_Ground_Landed,R_Ro5_Sig_Str_Ground_Attempted,B_Fighter,B_Knockdowns,B_Sig_Str_Landed,B_Sig_Str_Thrown,B_Str_Landed,B_Str_Thrown,B_Takedowns_Landed,B_Takedowns_Attempted,B_Sub_Attempted,B_Passes,B_Reversals,B_Sig_Str_Head_Landed,B_Sig_Str_Head_Attempted,B_Sig_Str_Body_Landed,B_Sig_Str_Body_Attempted,B_Sig_Str_Leg_Landed,B_Sig_Str_Leg_Attempted,B_Sig_Str_Distance_Landed,B_Sig_Str_Distance_Attempted,B_Sig_Str_Clinch_Landed,B_Sig_Str_Clinch_Attempted,B_Sig_Str_Ground_Landed,B_Sig_Str_Ground_Attempted,B_Ro1_Knockdowns,B_Ro1_Sig_Str_Landed,B_Ro1_Sig_Str_Thrown,B_Ro1_Str_Landed,B_Ro1_Str_Thrown,B_Ro1_Takedowns_Landed,B_Ro1_Takedowns_Attempted,B_Ro1_Sub_Attempted,B_Ro1_Passes,B_Ro1_Reversals,B_Ro1_Sig_Str_Head_Landed,B_Ro1_Sig_Str_Head_Attempted,B_Ro1_Sig_Str_Body_Landed,B_Ro1_Sig_Str_Body_Attempted,B_Ro1_Sig_Str_Leg_Landed,B_Ro1_Sig_Str_Leg_Attempted,B_Ro1_Sig_Str_Distance_Landed,B_Ro1_Sig_Str_Distance_Attempted,B_Ro1_Sig_Str_Clinch_Landed,B_Ro1_Sig_Str_Clinch_Attempted,B_Ro1_Sig_Str_Ground_Landed,B_Ro1_Sig_Str_Ground_Attempted,B_Ro2_Knockdowns,B_Ro2_Sig_Str_Landed,B_Ro2_Sig_Str_Thrown,B_Ro2_Str_Landed,B_Ro2_Str_Thrown,B_Ro2_Takedowns_Landed,B_Ro2_Takedowns_Attempted,B_Ro2_Sub_Attempted,B_Ro2_Passes,B_Ro2_Reversals,B_Ro2_Sig_Str_Head_Landed,B_Ro2_Sig_Str_Head_Attempted,B_Ro2_Sig_Str_Body_Landed,B_Ro2_Sig_Str_Body_Attempted,B_Ro2_Sig_Str_Leg_Landed,B_Ro2_Sig_Str_Leg_Attempted,B_Ro2_Sig_Str_Distance_Landed,B_Ro2_Sig_Str_Distance_Attempted,B_Ro2_Sig_Str_Clinch_Landed,B_Ro2_Sig_Str_Clinch_Attempted,B_Ro2_Sig_Str_Ground_Landed,B_Ro2_Sig_Str_Ground_Attempted,B_Ro3_Knockdowns,B_Ro3_Sig_Str_Landed,B_Ro3_Sig_Str_Thrown,B_Ro3_Str_Landed,B_Ro3_Str_Thrown,B_Ro3_Takedowns_Landed,B_Ro3_Takedowns_Attempted,B_Ro3_Sub_Attempted,B_Ro3_Passes,B_Ro3_Reversals,B_Ro3_Sig_Str_Head_Landed,B_Ro3_Sig_Str_Head_Attempted,B_Ro3_Sig_Str_Body_Landed,B_Ro3_Sig_Str_Body_Attempted,B_Ro3_Sig_Str_Leg_Landed,B_Ro3_Sig_Str_Leg_Attempted,B_Ro3_Sig_Str_Distance_Landed,B_Ro3_Sig_Str_Distance_Attempted,B_Ro3_Sig_Str_Clinch_Landed,B_Ro3_Sig_Str_Clinch_Attempted,B_Ro3_Sig_Str_Ground_Landed,B_Ro3_Sig_Str_Ground_Attempted,B_Ro4_Knockdowns,B_Ro4_Sig_Str_Landed,B_Ro4_Sig_Str_Thrown,B_Ro4_Str_Landed,B_Ro4_Str_Thrown,B_Ro4_Takedowns_Landed,B_Ro4_Takedowns_Attempted,B_Ro4_Sub_Attempted,B_Ro4_Passes,B_Ro4_Reversals,B_Ro4_Sig_Str_Head_Landed,B_Ro4_Sig_Str_Head_Attempted,B_Ro4_Sig_Str_Body_Landed,B_Ro4_Sig_Str_Body_Attempted,B_Ro4_Sig_Str_Leg_Landed,B_Ro4_Sig_Str_Leg_Attempted,B_Ro4_Sig_Str_Distance_Landed,B_Ro4_Sig_Str_Distance_Attempted,B_Ro4_Sig_Str_Clinch_Landed,B_Ro4_Sig_Str_Clinch_Attempted,B_Ro4_Sig_Str_Ground_Landed,B_Ro4_Sig_Str_Ground_Attempted,B_Ro5_Knockdowns,B_Ro5_Sig_Str_Landed,B_Ro5_Sig_Str_Thrown,B_Ro5_Str_Landed,B_Ro5_Str_Thrown,B_Ro5_Takedowns_Landed,B_Ro5_Takedowns_Attempted,B_Ro5_Sub_Attempted,B_Ro5_Passes,B_Ro5_Reversals,B_Ro5_Sig_Str_Head_Landed,B_Ro5_Sig_Str_Head_Attempted,B_Ro5_Sig_Str_Body_Landed,B_Ro5_Sig_Str_Body_Attempted,B_Ro5_Sig_Str_Leg_Landed,B_Ro5_Sig_Str_Leg_Attempted,B_Ro5_Sig_Str_Distance_Landed,B_Ro5_Sig_Str_Distance_Attempted,B_Ro5_Sig_Str_Clinch_Landed,B_Ro5_Sig_Str_Clinch_Attempted,B_Ro5_Sig_Str_Ground_Landed,B_Ro5_Sig_Str_Ground_Attempted
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Dan Miragliotta,KO/TKO,Alistair Overeem,Heavyweight,Alistair Overeem,1,68,85,97,115,1,1,0,3,0,58,75,8,8,2,2,7,10,1,1,60,74,0,27,33,48,55,1,1,0,2,0,21,27,5,5,1,1,3,4,1,1,23,28,1,41,52,49,60,0,0,0,1,0,37,48,3,3,1,1,4,6,0,0,37,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walt Harris,1,25,48,25,48,0,0,0,0,0,19,41,6,7,0,0,6,19,1,3,18,26,1,24,42,24,42,0,0,0,0,0,18,36,6,6,0,0,5,13,1,3,18,26,0,1,6,1,6,0,0,0,0,0,1,5,0,1,0,0,1,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Keith Peterson,S-DEC,Claudia Gadelha,Women's Strawweight,Claudia Gadelha,0,84,210,92,218,1,4,0,1,0,61,179,14,21,9,10,78,202,2,4,4,4,0,21,47,28,54,1,2,0,1,0,14,39,6,6,1,2,16,41,1,2,4,4,0,29,71,30,72,0,2,0,0,0,22,62,3,5,4,4,29,70,0,1,0,0,0,34,92,34,92,0,0,0,0,0,25,78,5,10,4,4,33,91,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angela Hill,1,90,176,93,179,0,0,0,0,0,60,136,29,39,1,1,86,170,4,4,0,2,0,10,26,13,29,0,0,0,0,0,4,16,6,10,0,0,9,25,1,1,0,0,1,37,72,37,72,0,0,0,0,0,25,58,12,14,0,0,34,67,3,3,0,2,0,43,78,43,78,0,0,0,0,0,31,62,11,15,1,1,43,78,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Jason Herzog,S-DEC,Dan Ige,Featherweight,Dan Ige,0,79,164,100,189,1,4,0,0,0,54,132,17,24,8,8,67,149,5,8,7,7,0,23,54,30,63,0,0,0,0,0,16,46,6,7,1,1,22,52,0,1,1,1,0,31,63,37,71,0,2,0,0,0,21,51,6,8,4,4,27,57,4,6,0,0,0,25,47,33,55,1,2,0,0,0,17,35,5,9,3,3,18,40,1,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edson Barboza,1,80,144,87,152,0,0,0,0,0,40,86,25,39,15,19,54,107,8,9,18,28,1,31,53,32,55,0,0,0,0,0,21,36,6,11,4,6,17,35,1,1,13,17,0,30,52,32,54,0,0,0,0,0,11,26,12,18,7,8,20,36,5,5,5,11,0,19,39,23,43,0,0,0,0,0,8,24,7,10,4,5,17,36,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Herb Dean,U-DEC,Krzysztof Jotko,Middleweight,Eryk Anders,0,41,97,73,132,0,5,0,0,0,19,68,22,27,0,2,23,66,18,31,0,0,0,10,35,26,51,0,2,0,0,0,7,31,3,3,0,1,5,21,5,14,0,0,0,14,31,21,41,0,2,0,0,0,4,18,10,12,0,1,7,22,7,9,0,0,0,17,31,26,40,0,1,0,0,0,8,19,9,12,0,0,11,23,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krzysztof Jotko,0,66,116,101,154,0,5,0,0,0,47,92,13,17,6,7,53,99,13,17,0,0,0,22,36,36,50,0,2,0,0,0,13,25,5,6,4,5,15,27,7,9,0,0,0,20,39,31,52,0,1,0,0,0,15,32,4,6,1,1,18,36,2,3,0,0,0,24,41,34,52,0,2,0,0,0,19,35,4,5,1,1,20,36,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Dan Miragliotta,U-DEC,Song Yadong,Featherweight,Song Yadong,0,101,201,119,221,0,1,0,0,0,79,173,12,17,10,11,79,169,21,31,1,1,0,17,40,22,45,0,0,0,0,0,7,28,6,8,4,4,9,31,8,9,0,0,0,44,89,47,92,0,1,0,0,0,33,74,5,8,6,7,39,78,5,11,0,0,0,40,72,50,84,0,0,0,0,0,39,71,1,1,0,0,31,60,8,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlon Vera,0,92,164,115,187,2,3,0,1,0,41,98,29,40,22,26,68,127,20,29,4,8,0,21,32,29,40,0,0,0,0,0,1,6,9,12,11,14,15,23,6,9,0,0,0,37,74,40,77,0,1,0,0,0,20,53,11,15,6,6,29,61,8,13,0,0,0,34,58,46,70,2,2,0,1,0,20,39,9,13,5,6,24,43,6,7,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Jason Herzog,KO/TKO,Miguel Baeza,Welterweight,Matt Brown,0,33,61,33,61,0,0,0,0,0,25,51,8,10,0,0,21,44,12,17,0,0,0,33,59,33,59,0,0,0,0,0,25,49,8,10,0,0,21,42,12,17,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Baeza,2,37,73,42,79,0,0,0,1,0,21,54,5,7,11,12,29,62,1,2,7,9,1,32,65,37,71,0,0,0,1,0,17,48,5,6,10,11,25,56,1,2,6,7,1,5,8,5,8,0,0,0,0,0,4,6,0,1,1,1,4,6,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Michael Cardoso,KO/TKO,Kevin Holland,Middleweight,Anthony Hernandez,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Holland,1,14,18,14,18,0,0,0,0,0,9,13,4,4,1,1,4,7,5,5,5,6,1,14,18,14,18,0,0,0,0,0,9,13,4,4,1,1,4,7,5,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Keith Peterson,U-DEC,Giga Chikadze,Featherweight,Giga Chikadze,1,61,135,61,135,1,1,0,0,0,33,100,13,16,15,19,55,122,2,4,4,9,0,17,39,17,39,0,0,0,0,0,4,22,5,6,8,11,17,38,0,1,0,0,0,25,49,25,49,0,0,0,0,0,16,39,5,6,4,4,24,48,1,1,0,0,1,19,47,19,47,1,1,0,0,0,13,39,3,4,3,4,14,36,1,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irwin Rivera,0,34,94,35,95,0,4,0,0,0,20,71,10,18,4,5,34,94,0,0,0,0,0,11,33,11,33,0,2,0,0,0,8,27,2,5,1,1,11,33,0,0,0,0,0,10,26,10,26,0,1,0,0,0,6,18,3,6,1,2,10,26,0,0,0,0,0,13,35,14,36,0,1,0,0,0,6,26,5,7,2,2,13,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Herb Dean,U-DEC,Nate Landwehr,Featherweight,Darren Elkins,0,121,253,142,276,1,13,0,1,0,101,229,14,18,6,6,103,224,17,28,1,1,0,33,59,44,70,1,4,0,1,0,31,57,2,2,0,0,26,48,6,10,1,1,0,39,89,43,95,0,5,0,0,0,31,78,5,8,3,3,35,81,4,8,0,0,0,49,105,55,111,0,4,0,0,0,39,94,7,8,3,3,42,95,7,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nate Landwehr,0,118,234,121,237,0,0,0,0,1,96,211,8,9,14,14,96,206,22,28,0,0,0,25,56,26,57,0,0,0,0,1,18,49,3,3,4,4,21,50,4,6,0,0,0,43,83,44,84,0,0,0,0,0,36,76,1,1,6,6,32,69,11,14,0,0,0,50,95,51,96,0,0,0,0,0,42,86,4,5,4,4,43,87,7,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Overeem vs. Harris,May 16 2020,Jacksonville Florida USA,False,Michael Cardoso,SUB,Cortney Casey,Women's Flyweight,Cortney Casey,0,6,12,18,24,0,0,2,0,0,4,8,1,1,1,3,2,7,1,2,3,3,0,6,12,18,24,0,0,2,0,0,4,8,1,1,1,3,2,7,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mara Romero Borella,0,5,7,21,24,1,2,0,0,0,2,4,1,1,2,2,2,4,2,2,1,1,0,5,7,21,24,1,2,0,0,0,2,4,1,1,2,2,2,4,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
