Fight_Card,Date,Location,Title_Fight,Referee,Decision,Winner,Weightclass,R_Fighter,R_Knockdowns,R_Sig_Str_Landed,R_Sig_Str_Thrown,R_Str_Landed,R_Str_Thrown,R_Takedowns_Landed,R_Takedowns_Attempted,R_Sub_Attempted,R_Passes,R_Reversals,R_Sig_Str_Head_Landed,R_Sig_Str_Head_Attempted,R_Sig_Str_Body_Landed,R_Sig_Str_Body_Attempted,R_Sig_Str_Leg_Landed,R_Sig_Str_Leg_Attempted,R_Sig_Str_Distance_Landed,R_Sig_Str_Distance_Attempted,R_Sig_Str_Clinch_Landed,R_Sig_Str_Clinch_Attempted,R_Sig_Str_Ground_Landed,R_Sig_Str_Ground_Attempted,R_Ro1_Knockdowns,R_Ro1_Sig_Str_Landed,R_Ro1_Sig_Str_Thrown,R_Ro1_Str_Landed,R_Ro1_Str_Thrown,R_Ro1_Takedowns_Landed,R_Ro1_Takedowns_Attempted,R_Ro1_Sub_Attempted,R_Ro1_Passes,R_Ro1_Reversals,R_Ro1_Sig_Str_Head_Landed,R_Ro1_Sig_Str_Head_Attempted,R_Ro1_Sig_Str_Body_Landed,R_Ro1_Sig_Str_Body_Attempted,R_Ro1_Sig_Str_Leg_Landed,R_Ro1_Sig_Str_Leg_Attempted,R_Ro1_Sig_Str_Distance_Landed,R_Ro1_Sig_Str_Distance_Attempted,R_Ro1_Sig_Str_Clinch_Landed,R_Ro1_Sig_Str_Clinch_Attempted,R_Ro1_Sig_Str_Ground_Landed,R_Ro1_Sig_Str_Ground_Attempted,R_Ro2_Knockdowns,R_Ro2_Sig_Str_Landed,R_Ro2_Sig_Str_Thrown,R_Ro2_Str_Landed,R_Ro2_Str_Thrown,R_Ro2_Takedowns_Landed,R_Ro2_Takedowns_Attempted,R_Ro2_Sub_Attempted,R_Ro2_Passes,R_Ro2_Reversals,R_Ro2_Sig_Str_Head_Landed,R_Ro2_Sig_Str_Head_Attempted,R_Ro2_Sig_Str_Body_Landed,R_Ro2_Sig_Str_Body_Attempted,R_Ro2_Sig_Str_Leg_Landed,R_Ro2_Sig_Str_Leg_Attempted,R_Ro2_Sig_Str_Distance_Landed,R_Ro2_Sig_Str_Distance_Attempted,R_Ro2_Sig_Str_Clinch_Landed,R_Ro2_Sig_Str_Clinch_Attempted,R_Ro2_Sig_Str_Ground_Landed,R_Ro2_Sig_Str_Ground_Attempted,R_Ro3_Knockdowns,R_Ro3_Sig_Str_Landed,R_Ro3_Sig_Str_Thrown,R_Ro3_Str_Landed,R_Ro3_Str_Thrown,R_Ro3_Takedowns_Landed,R_Ro3_Takedowns_Attempted,R_Ro3_Sub_Attempted,R_Ro3_Passes,R_Ro3_Reversals,R_Ro3_Sig_Str_Head_Landed,R_Ro3_Sig_Str_Head_Attempted,R_Ro3_Sig_Str_Body_Landed,R_Ro3_Sig_Str_Body_Attempted,R_Ro3_Sig_Str_Leg_Landed,R_Ro3_Sig_Str_Leg_Attempted,R_Ro3_Sig_Str_Distance_Landed,R_Ro3_Sig_Str_Distance_Attempted,R_Ro3_Sig_Str_Clinch_Landed,R_Ro3_Sig_Str_Clinch_Attempted,R_Ro3_Sig_Str_Ground_Landed,R_Ro3_Sig_Str_Ground_Attempted,R_Ro4_Knockdowns,R_Ro4_Sig_Str_Landed,R_Ro4_Sig_Str_Thrown,R_Ro4_Str_Landed,R_Ro4_Str_Thrown,R_Ro4_Takedowns_Landed,R_Ro4_Takedowns_Attempted,R_Ro4_Sub_Attempted,R_Ro4_Passes,R_Ro4_Reversals,R_Ro4_Sig_Str_Head_Landed,R_Ro4_Sig_Str_Head_Attempted,R_Ro4_Sig_Str_Body_Landed,R_Ro4_Sig_Str_Body_Attempted,R_Ro4_Sig_Str_Leg_Landed,R_Ro4_Sig_Str_Leg_Attempted,R_Ro4_Sig_Str_Distance_Landed,R_Ro4_Sig_Str_Distance_Attempted,R_Ro4_Sig_Str_Clinch_Landed,R_Ro4_Sig_Str_Clinch_Attempted,R_Ro4_Sig_Str_Ground_Landed,R_Ro4_Sig_Str_Ground_Attempted,R_Ro5_Knockdowns,R_Ro5_Sig_Str_Landed,R_Ro5_Sig_Str_Thrown,R_Ro5_Str_Landed,R_Ro5_Str_Thrown,R_Ro5_Takedowns_Landed,R_Ro5_Takedowns_Attempted,R_Ro5_Sub_Attempted,R_Ro5_Passes,R_Ro5_Reversals,R_Ro5_Sig_Str_Head_Landed,R_Ro5_Sig_Str_Head_Attempted,R_Ro5_Sig_Str_Body_Landed,R_Ro5_Sig_Str_Body_Attempted,R_Ro5_Sig_Str_Leg_Landed,R_Ro5_Sig_Str_Leg_Attempted,R_Ro5_Sig_Str_Distance_Landed,R_Ro5_Sig_Str_Distance_Attempted,R_Ro5_Sig_Str_Clinch_Landed,R_Ro5_Sig_Str_Clinch_Attempted,R_Ro5_Sig_Str_Ground_Landed,R_Ro5_Sig_Str_Ground_Attempted,B_Fighter,B_Knockdowns,B_Sig_Str_Landed,B_Sig_Str_Thrown,B_Str_Landed,B_Str_Thrown,B_Takedowns_Landed,B_Takedowns_Attempted,B_Sub_Attempted,B_Passes,B_Reversals,B_Sig_Str_Head_Landed,B_Sig_Str_Head_Attempted,B_Sig_Str_Body_Landed,B_Sig_Str_Body_Attempted,B_Sig_Str_Leg_Landed,B_Sig_Str_Leg_Attempted,B_Sig_Str_Distance_Landed,B_Sig_Str_Distance_Attempted,B_Sig_Str_Clinch_Landed,B_Sig_Str_Clinch_Attempted,B_Sig_Str_Ground_Landed,B_Sig_Str_Ground_Attempted,B_Ro1_Knockdowns,B_Ro1_Sig_Str_Landed,B_Ro1_Sig_Str_Thrown,B_Ro1_Str_Landed,B_Ro1_Str_Thrown,B_Ro1_Takedowns_Landed,B_Ro1_Takedowns_Attempted,B_Ro1_Sub_Attempted,B_Ro1_Passes,B_Ro1_Reversals,B_Ro1_Sig_Str_Head_Landed,B_Ro1_Sig_Str_Head_Attempted,B_Ro1_Sig_Str_Body_Landed,B_Ro1_Sig_Str_Body_Attempted,B_Ro1_Sig_Str_Leg_Landed,B_Ro1_Sig_Str_Leg_Attempted,B_Ro1_Sig_Str_Distance_Landed,B_Ro1_Sig_Str_Distance_Attempted,B_Ro1_Sig_Str_Clinch_Landed,B_Ro1_Sig_Str_Clinch_Attempted,B_Ro1_Sig_Str_Ground_Landed,B_Ro1_Sig_Str_Ground_Attempted,B_Ro2_Knockdowns,B_Ro2_Sig_Str_Landed,B_Ro2_Sig_Str_Thrown,B_Ro2_Str_Landed,B_Ro2_Str_Thrown,B_Ro2_Takedowns_Landed,B_Ro2_Takedowns_Attempted,B_Ro2_Sub_Attempted,B_Ro2_Passes,B_Ro2_Reversals,B_Ro2_Sig_Str_Head_Landed,B_Ro2_Sig_Str_Head_Attempted,B_Ro2_Sig_Str_Body_Landed,B_Ro2_Sig_Str_Body_Attempted,B_Ro2_Sig_Str_Leg_Landed,B_Ro2_Sig_Str_Leg_Attempted,B_Ro2_Sig_Str_Distance_Landed,B_Ro2_Sig_Str_Distance_Attempted,B_Ro2_Sig_Str_Clinch_Landed,B_Ro2_Sig_Str_Clinch_Attempted,B_Ro2_Sig_Str_Ground_Landed,B_Ro2_Sig_Str_Ground_Attempted,B_Ro3_Knockdowns,B_Ro3_Sig_Str_Landed,B_Ro3_Sig_Str_Thrown,B_Ro3_Str_Landed,B_Ro3_Str_Thrown,B_Ro3_Takedowns_Landed,B_Ro3_Takedowns_Attempted,B_Ro3_Sub_Attempted,B_Ro3_Passes,B_Ro3_Reversals,B_Ro3_Sig_Str_Head_Landed,B_Ro3_Sig_Str_Head_Attempted,B_Ro3_Sig_Str_Body_Landed,B_Ro3_Sig_Str_Body_Attempted,B_Ro3_Sig_Str_Leg_Landed,B_Ro3_Sig_Str_Leg_Attempted,B_Ro3_Sig_Str_Distance_Landed,B_Ro3_Sig_Str_Distance_Attempted,B_Ro3_Sig_Str_Clinch_Landed,B_Ro3_Sig_Str_Clinch_Attempted,B_Ro3_Sig_Str_Ground_Landed,B_Ro3_Sig_Str_Ground_Attempted,B_Ro4_Knockdowns,B_Ro4_Sig_Str_Landed,B_Ro4_Sig_Str_Thrown,B_Ro4_Str_Landed,B_Ro4_Str_Thrown,B_Ro4_Takedowns_Landed,B_Ro4_Takedowns_Attempted,B_Ro4_Sub_Attempted,B_Ro4_Passes,B_Ro4_Reversals,B_Ro4_Sig_Str_Head_Landed,B_Ro4_Sig_Str_Head_Attempted,B_Ro4_Sig_Str_Body_Landed,B_Ro4_Sig_Str_Body_Attempted,B_Ro4_Sig_Str_Leg_Landed,B_Ro4_Sig_Str_Leg_Attempted,B_Ro4_Sig_Str_Distance_Landed,B_Ro4_Sig_Str_Distance_Attempted,B_Ro4_Sig_Str_Clinch_Landed,B_Ro4_Sig_Str_Clinch_Attempted,B_Ro4_Sig_Str_Ground_Landed,B_Ro4_Sig_Str_Ground_Attempted,B_Ro5_Knockdowns,B_Ro5_Sig_Str_Landed,B_Ro5_Sig_Str_Thrown,B_Ro5_Str_Landed,B_Ro5_Str_Thrown,B_Ro5_Takedowns_Landed,B_Ro5_Takedowns_Attempted,B_Ro5_Sub_Attempted,B_Ro5_Passes,B_Ro5_Reversals,B_Ro5_Sig_Str_Head_Landed,B_Ro5_Sig_Str_Head_Attempted,B_Ro5_Sig_Str_Body_Landed,B_Ro5_Sig_Str_Body_Attempted,B_Ro5_Sig_Str_Leg_Landed,B_Ro5_Sig_Str_Leg_Attempted,B_Ro5_Sig_Str_Distance_Landed,B_Ro5_Sig_Str_Distance_Attempted,B_Ro5_Sig_Str_Clinch_Landed,B_Ro5_Sig_Str_Clinch_Attempted,B_Ro5_Sig_Str_Ground_Landed,B_Ro5_Sig_Str_Ground_Attempted
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Herb Dean,S-DEC,Frankie Edgar,Bantamweight,Pedro Munhoz,0,166,350,166,350,0,0,0,0,0,98,259,24,39,44,52,166,350,0,0,0,0,0,30,64,30,64,0,0,0,0,0,15,46,4,5,11,13,30,64,0,0,0,0,0,21,57,21,57,0,0,0,0,0,16,50,1,2,4,5,21,57,0,0,0,0,0,33,60,33,60,0,0,0,0,0,18,42,4,6,11,12,33,60,0,0,0,0,0,35,74,35,74,0,0,0,0,0,24,56,4,10,7,8,35,74,0,0,0,0,0,47,95,47,95,0,0,0,0,0,25,65,11,16,11,14,47,95,0,0,0,0,Frankie Edgar,0,135,363,135,363,2,8,0,0,0,105,309,23,46,7,8,134,361,1,2,0,0,0,29,77,29,77,0,0,0,0,0,23,63,4,12,2,2,29,77,0,0,0,0,0,25,61,25,61,1,5,0,0,0,19,50,6,10,0,1,24,59,1,2,0,0,0,24,60,24,60,0,1,0,0,0,16,46,5,11,3,3,24,60,0,0,0,0,0,24,82,24,82,1,1,0,0,0,20,75,3,6,1,1,24,82,0,0,0,0,0,33,83,33,83,0,1,0,0,0,27,75,5,7,1,1,33,83,0,0,0,0
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Jason Herzog,KO/TKO,Mike Rodriguez,Light Heavyweight,Marcin Prachnio,0,14,20,23,30,0,0,0,0,0,1,5,4,5,9,10,9,14,5,6,0,0,0,14,20,23,30,0,0,0,0,0,1,5,4,5,9,10,9,14,5,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Rodriguez,1,21,26,21,26,0,0,0,0,0,9,13,7,8,5,5,8,11,11,13,2,2,1,21,26,21,26,0,0,0,0,0,9,13,7,8,5,5,8,11,11,13,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Herb Dean,SUB,Joe Solecki,Lightweight,Austin Hubbard,0,9,14,9,14,0,0,0,0,0,2,5,4,5,3,4,6,11,3,3,0,0,0,9,14,9,14,0,0,0,0,0,2,5,4,5,3,4,6,11,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Solecki,0,13,20,36,43,0,2,1,1,0,8,15,2,2,3,3,9,16,4,4,0,0,0,13,20,36,43,0,2,1,1,0,8,15,2,2,3,3,9,16,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,,KO/TKO,Shana Dobson,Women's Flyweight,Mariya Agapova,0,22,46,56,89,2,2,0,1,0,18,40,4,6,0,0,10,28,2,2,10,16,0,21,39,53,79,1,1,0,1,0,17,33,4,6,0,0,9,21,2,2,10,16,0,1,7,3,10,1,1,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shana Dobson,0,24,36,41,59,2,2,0,4,1,18,30,5,5,1,1,6,14,3,3,15,19,0,5,10,15,22,2,2,0,2,0,0,5,4,4,1,1,2,7,3,3,0,0,0,19,26,26,37,0,0,0,2,1,18,25,1,1,0,0,4,7,0,0,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Chris Tognoni,KO/TKO,Daniel Rodriguez,Welterweight,Daniel Rodriguez,3,15,32,15,32,0,0,0,0,0,10,26,3,4,2,2,11,27,0,0,4,5,3,15,32,15,32,0,0,0,0,0,10,26,3,4,2,2,11,27,0,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwight Grant,1,30,68,31,72,0,0,0,1,0,25,61,2,2,3,5,13,24,0,0,17,44,1,30,68,31,72,0,0,0,1,0,25,61,2,2,3,5,13,24,0,0,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Jason Herzog,U-DEC,Amanda Lemos,Women's Strawweight,Amanda Lemos,1,83,129,102,150,2,2,0,0,0,51,92,27,32,5,5,48,84,27,33,8,12,1,33,57,37,61,1,1,0,0,0,22,44,9,11,2,2,20,40,7,8,6,9,0,22,29,32,41,1,1,0,0,0,12,18,8,9,2,2,12,15,8,11,2,3,0,28,43,33,48,0,0,0,0,0,17,30,10,12,1,1,16,29,12,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mizuki Inoue,0,57,94,138,181,0,1,0,0,0,30,62,18,23,9,9,34,69,23,25,0,0,0,17,30,38,54,0,0,0,0,0,10,23,2,2,5,5,12,25,5,5,0,0,0,20,27,49,56,0,1,0,0,0,9,14,9,11,2,2,10,16,10,11,0,0,0,20,37,51,71,0,0,0,0,0,11,25,7,10,2,2,12,28,8,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Jason Herzog,KO/TKO,Jordan Wright,Light Heavyweight,Ike Villanueva,0,7,7,23,24,0,0,0,0,0,5,5,2,2,0,0,0,0,7,7,0,0,0,7,7,23,24,0,0,0,0,0,5,5,2,2,0,0,0,0,7,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Wright,1,15,15,21,21,0,0,0,0,0,10,10,5,5,0,0,1,1,12,12,2,2,1,15,15,21,21,0,0,0,0,0,10,10,5,5,0,0,1,1,12,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Mark Smith,U-DEC,Matthew Semelsberger,Welterweight,Carlton Minus,0,77,182,89,197,0,1,0,0,0,61,165,8,9,8,8,76,179,1,2,0,1,0,15,44,15,44,0,0,0,0,0,14,42,0,1,1,1,15,44,0,0,0,0,0,20,45,28,56,0,0,0,0,0,17,42,2,2,1,1,20,44,0,0,0,1,0,42,93,46,97,0,1,0,0,0,30,81,6,6,6,6,41,91,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew Semelsberger,1,118,233,122,237,2,2,1,2,0,79,186,16,23,23,24,107,218,7,8,4,7,0,43,81,43,81,0,0,0,0,0,27,62,10,12,6,7,41,78,2,3,0,0,1,29,65,31,67,0,0,1,1,0,17,50,3,6,9,9,26,59,0,0,3,6,0,46,87,48,89,2,2,0,1,0,35,74,3,5,8,8,40,81,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Munhoz vs. Edgar,August 22 2020,Las Vegas Nevada USA,False,Chris Tognoni,KO/TKO,Trevin Jones,Catch Weight,Timur Valiev,1,66,93,66,93,0,0,0,0,0,28,50,25,29,13,14,60,86,6,7,0,0,1,53,74,53,74,0,0,0,0,0,26,43,21,25,6,6,47,67,6,7,0,0,0,13,19,13,19,0,0,0,0,0,2,7,4,4,7,8,13,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trevin Jones,1,26,50,31,55,1,2,0,0,0,21,44,3,3,2,3,11,32,1,1,14,17,0,8,24,12,28,1,1,0,0,0,5,20,1,1,2,3,7,23,1,1,0,0,1,18,26,19,27,0,1,0,0,0,16,24,2,2,0,0,4,9,0,0,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 252: Miocic vs. Cormier 3,August 15 2020,Las Vegas Nevada USA,True,Marc Goddard,U-DEC,Stipe Miocic,Heavyweight,Stipe Miocic,1,115,187,171,244,0,6,0,0,0,67,136,31,34,17,17,101,169,14,18,0,0,0,20,33,22,35,0,0,0,0,0,7,19,7,8,6,6,20,33,0,0,0,0,1,24,39,38,54,0,2,0,0,0,13,28,7,7,4,4,24,39,0,0,0,0,0,28,48,46,66,0,0,0,0,0,18,38,8,8,2,2,22,41,6,7,0,0,0,16,32,23,39,0,2,0,0,0,12,26,2,4,2,2,16,29,0,3,0,0,0,27,35,42,50,0,2,0,0,0,17,25,7,7,3,3,19,27,8,8,0,0,Daniel Cormier,0,105,183,145,223,1,2,0,0,0,70,132,11,24,24,27,95,171,10,12,0,0,0,14,25,14,25,1,1,0,0,0,7,14,2,5,5,6,11,22,3,3,0,0,0,26,53,26,53,0,0,0,0,0,14,36,4,9,8,8,23,50,3,3,0,0,0,16,32,34,50,0,0,0,0,0,13,27,0,2,3,3,16,31,0,1,0,0,0,30,43,41,54,0,1,0,0,0,21,31,2,3,7,9,29,41,1,2,0,0,0,19,30,30,41,0,0,0,0,0,15,24,3,5,1,1,16,27,3,3,0,0
